X
1.9890 
2.1080 
2.0590 
2.0110 
2.0070 
1.8410 
1.8900 
2.0590 
1.9160 
1.9800  
2.0070 
2.0970 
2.0440 
2.0810 
2.0510  
2.0940 
2.2690 
2.0910 
2.0970 
1.9670  
1.9970 
1.8140 
1.9780 
1.9960 
1.9830  
2.0540 
1.9700 
2.1780 
2.1010 
1.9150  
2.0920 
2.0300 
1.8560 
1.9060 
1.9750  
2.0330 
1.8500 
2.1680 
2.0850 
2.0230  
2.0960 
2.0960 
1.8840 
1.7800 
2.0050  
2.0510 
2.0380 
1.7390 
1.9530 
1.9170  
1.9520 
1.7930 
1.8780 
2.2310 
1.9850  
2.0060 
2.1410 
1.9000 
1.9430 
1.8410  
2.1480 
2.0130 
2.0660 
2.0050 
2.0100  
1.8910 
2.0890 
2.0920 
2.0230 
1.9750  
2.0930 
1.9230 
1.9750 
2.0140 
2.0020  
2.2300 
2.0580 
2.0660 
2.1990 
2.1720  
1.8620 
2.1710 
1.9210 
1.9800 
1.7900  
2.0560 
2.1250 
1.9210 
1.9200 
1.9340  
1.8980 
2.0000 
2.0890 
1.9020 
2.0820  
2.0490 
1.8790 
2.0540 
1.9260 
2.0080  
